x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
-510.0,-1650.0,1727.0206,252.8241,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-480.0,-1650.0,1718.4004,253.7798,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-450.0,-1650.0,1710.2631,254.7449,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-420.0,-1650.0,1702.6156,255.7189,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-390.0,-1650.0,1695.4645,256.7014,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-360.0,-1650.0,1688.8162,257.692,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-330.0,-1650.0,1682.6764,258.6901,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-300.0,-1650.0,1677.051,259.6952,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-270.0,-1650.0,1671.945,260.7067,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1650.0,1667.3632,261.7241,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-210.0,-1650.0,1663.31,262.7468,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-180.0,-1650.0,1659.7891,263.7742,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-150.0,-1650.0,1656.8042,264.8056,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-120.0,-1650.0,1654.3579,265.8404,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-90.0,-1650.0,1652.4527,266.8779,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-60.0,-1650.0,1651.0905,267.9174,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-30.0,-1650.0,1650.2727,268.9584,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
0.0,-1650.0,1650.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
30.0,-1650.0,1650.2727,271.0416,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
60.0,-1650.0,1651.0905,272.0826,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
90.0,-1650.0,1652.4527,273.1221,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
120.0,-1650.0,1654.3579,274.1596,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
150.0,-1650.0,1656.8042,275.1944,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
180.0,-1650.0,1659.7891,276.2258,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
210.0,-1650.0,1663.31,277.2532,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
240.0,-1650.0,1667.3632,278.2759,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
270.0,-1650.0,1671.945,279.2933,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
300.0,-1650.0,1677.051,280.3048,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
330.0,-1650.0,1682.6764,281.3099,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
360.0,-1650.0,1688.8162,282.308,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
390.0,-1650.0,1695.4645,283.2986,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
420.0,-1650.0,1702.6156,284.2811,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
450.0,-1650.0,1710.2631,285.2551,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
480.0,-1650.0,1718.4004,286.2202,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
510.0,-1650.0,1727.0206,287.1759,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
540.0,-1650.0,1736.1164,288.1219,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
570.0,-1650.0,1745.6804,289.0577,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
600.0,-1650.0,1755.705,289.9831,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
630.0,-1650.0,1766.1823,290.8978,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
660.0,-1650.0,1777.1044,291.8014,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
690.0,-1650.0,1788.463,292.6938,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-780.0,-1620.0,1797.9989,244.29,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-750.0,-1620.0,1785.1891,245.1576,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-720.0,-1620.0,1772.7944,246.0375,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-690.0,-1620.0,1760.8237,246.9296,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-660.0,-1620.0,1749.2856,247.8337,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-630.0,-1620.0,1738.1887,248.7495,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-600.0,-1620.0,1727.5416,249.6769,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-570.0,-1620.0,1717.3526,250.6155,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
